vacancy name,vacancy link,salary,suite_info,city
Data Engineer,https://hh.ru/vacancy/37422995?query=Python,"{'minimum': 200000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО РАБЛЗ,Москва
Разработчик Python,https://hh.ru/vacancy/35871016?query=Python,нет сведений о заработной плате,ООО НТ Прогресс,"Москва, Автозаводская"
Python backend инженер,https://hh.ru/vacancy/38855190?query=Python,"{'minimum': 100000, 'maximum': 160000, 'currency': 'руб.'}", Bugout,Москва
Python разработчик,https://hh.ru/vacancy/38959785?query=Python,нет сведений о заработной плате, SOKOLOV,Москва
"Full-stack разработчик (Python, JavaScript)",https://hh.ru/vacancy/38088239?query=Python,"{'minimum': 70000, 'maximum': 180000, 'currency': 'руб.'}", Tevian (ООО Технологии видеоанализа),Москва
Middle/Senior python developer,https://hh.ru/vacancy/38541795?query=Python,"{'minimum': 120000, 'maximum': 200000, 'currency': 'руб.'}",ООО ЭНГРИ,"Москва, Менделеевская и еще 1 "
Программист Python,https://hh.ru/vacancy/38429768?query=Python,"{'minimum': 70000, 'maximum': 'нет сведений', 'currency': 'руб.'}", TrueConf,"Москва, Электрозаводская"
"Full Stack разработчик (Python, React, PostgreSQL)",https://hh.ru/vacancy/38966721?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО PROGNET,Москва
Middle/Senior Python разработчик,https://hh.ru/vacancy/38982188?query=Python,нет сведений о заработной плате,ООО Айтаргет,"Москва, Тульская"
Python developer,https://hh.ru/vacancy/37609721?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Go/Python developer,https://hh.ru/vacancy/36774590?query=Python,нет сведений о заработной плате,ООО Акронис-Инфозащита,"Москва, Алтуфьево"
Билд-инженер/Программист Python (Continuous Integration),https://hh.ru/vacancy/38766644?query=Python,нет сведений о заработной плате, Gaijin Entertainment,"Москва, Свиблово"
Стажер-разработчик Python,https://hh.ru/vacancy/38462015?query=Python,нет сведений о заработной плате, X-LAB,Москва
Инженер по автоматизации тестирования / Python разработчик,https://hh.ru/vacancy/37169502?query=Python,нет сведений о заработной плате,ООО Основа Лаб,Москва
Python-разработчик (full stack),https://hh.ru/vacancy/38784499?query=Python,нет сведений о заработной плате, Akvelon,Москва
Python developer,https://hh.ru/vacancy/38897245?query=Python,"{'minimum': 160000, 'maximum': 200000, 'currency': 'руб.'}", IVIDEON,"Москва, Менделеевская"
Python/Go Developer,https://hh.ru/vacancy/38318107?query=Python,нет сведений о заработной плате, ДомКлик,"Москва, Кутузовская"
QA Engineer (Python),https://hh.ru/vacancy/38878778?query=Python,нет сведений о заработной плате,ООО Т8,Москва
Разработчик Python,https://hh.ru/vacancy/38430869?query=Python,нет сведений о заработной плате, ГК «ХайТэк»,"Москва, Текстильщики"
Разработчик Python,https://hh.ru/vacancy/37706591?query=Python,нет сведений о заработной плате,ООО «Баланс-Платформа»,Москва
Senior Python-разработчик,https://hh.ru/vacancy/39012300?query=Python,нет сведений о заработной плате, ГЛОНАСС МОБАЙЛ,Москва
Data scientist/Python,https://hh.ru/vacancy/38981353?query=Python,нет сведений о заработной плате, МИА Россия сегодня,"Москва, Парк культуры и еще 1 "
Python backend developer,https://hh.ru/vacancy/39067708?query=Python,нет сведений о заработной плате,ООО InStat,Москва
Data Engineer (удаленно),https://hh.ru/vacancy/39016601?query=Python,нет сведений о заработной плате, Iteora,Москва
Senior Python Developer (to Riga),https://hh.ru/vacancy/39025497?query=Python,нет сведений о заработной плате, Betby,Москва
Data Engineer,https://hh.ru/vacancy/36409905?query=Python,"{'minimum': 160000, 'maximum': 200000, 'currency': 'руб.'}", BestDoctor,Москва
Ведущий программист (Python),https://hh.ru/vacancy/37729816?query=Python,нет сведений о заработной плате, Admitad,"Москва, Дмитровская"
Разработчик Python,https://hh.ru/vacancy/38399892?query=Python,нет сведений о заработной плате, ИТЕРАНЕТ,"Москва, Киевская"
Ведущий программист Python,https://hh.ru/vacancy/36618179?query=Python,нет сведений о заработной плате,ООО ФК ПУЛЬС,Москва
