vacancy name,vacancy link,salary,suite_info,city
Senior Python Developer,https://hh.ru/vacancy/38524129?query=Python,"{'minimum': 'нет сведений', 'maximum': 350000, 'currency': 'руб.'}", Дикая Роза,Москва
Data Engineer,https://hh.ru/vacancy/37422995?query=Python,"{'minimum': 200000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО РАБЛЗ,Москва
Go/Python developer,https://hh.ru/vacancy/36774590?query=Python,нет сведений о заработной плате,ООО Акронис-Инфозащита,"Москва, Алтуфьево"
Middle/Senior Python разработчик,https://hh.ru/vacancy/38982188?query=Python,нет сведений о заработной плате,ООО Айтаргет,"Москва, Тульская"
Разработчик Python,https://hh.ru/vacancy/35871016?query=Python,нет сведений о заработной плате,ООО НТ Прогресс,"Москва, Автозаводская"
Разработчик Python 3 Django,https://hh.ru/vacancy/38743313?query=Python,нет сведений о заработной плате, IBS,"Москва, Дмитровская"
Middle/Senior python developer,https://hh.ru/vacancy/38541795?query=Python,"{'minimum': 120000, 'maximum': 200000, 'currency': 'руб.'}",ООО ЭНГРИ,"Москва, Менделеевская и еще 1 "
"Full-stack разработчик (Python, JavaScript)",https://hh.ru/vacancy/38088239?query=Python,"{'minimum': 70000, 'maximum': 180000, 'currency': 'руб.'}", Tevian (ООО Технологии видеоанализа),Москва
Data Engineer,https://hh.ru/vacancy/36409905?query=Python,"{'minimum': 160000, 'maximum': 200000, 'currency': 'руб.'}", BestDoctor,Москва
"Full Stack разработчик (Python, React, PostgreSQL)",https://hh.ru/vacancy/38966721?query=Python,"{'minimum': 150000, 'maximum': 'нет сведений', 'currency': 'руб.'}",ООО PROGNET,Москва
Data Scientist,https://hh.ru/vacancy/38660521?query=Python,"{'minimum': 120000, 'maximum': 170000, 'currency': 'руб.'}",ООО КИБЕРБОРЕЯ,Москва
Билд-инженер/Программист Python (Continuous Integration),https://hh.ru/vacancy/38766644?query=Python,нет сведений о заработной плате, Gaijin Entertainment,"Москва, Свиблово"
Инженер по автоматизации тестирования / Python разработчик,https://hh.ru/vacancy/37169502?query=Python,нет сведений о заработной плате,ООО Основа Лаб,Москва
Senior Python Developer (to Riga),https://hh.ru/vacancy/39025497?query=Python,нет сведений о заработной плате, Betby,Москва
